,Product Name,Prices,Description,Reviews
92,DELL Intel Core i3 13th Gen - (8 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop,"₹37,480",16 GB DDR4 RAM,4.2
93,ASUS Vivobook S 15 OLED Intel EVO H-Series Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 1...,"₹75,990",Windows 11 Operating System,4.6
94,HP Victus AMD Ryzen 5 Octa Core 5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/AMD Radeon RX ...,"₹54,670",512 GB SSD,4.5
95,Lenovo IdeaPad 1 AMD Athlon Dual Core 7120U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and Light ...,"₹23,690",43.94 cm (17.3 Inch) Display,4.2
96,Lenovo IdeaPad Slim 1 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and ...,"₹32,990",1 Year Onsite Warranty,4
97,HP 255 G10 (2024) AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 250 G10 Thin and Lig...,"₹26,999",Intel Core i5 Processor (13th Gen),4.4
98,HP Chromebook Intel Celeron Dual Core N4120 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a-ca0506TU Chromeb...,"₹28,788",16 GB DDR4 RAM,3.9
99,Colorful Evol P15 Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVID...,"₹83,990",64 bit Windows 11 Operating System,4.5
100,Acer Aspire Lite AMD Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Lig...,"₹35,990",512 GB SSD,4
101,Acer Aspire 3 Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) A324-51 Thin and Light L...,"₹55,990",39.62 cm (15.6 inch) Display,4.3
102,Lenovo IdeaPad Slim 5 Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Home) 82XD003MIN Thin and ...,"₹63,990",1 Year Onsite Hardware Service,4.1
103,HP Victus Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Pro/4 GB Graphics/NVIDIA GeForc...,"₹68,990",MediaTek MT8183 Processor,4.3
104,Acer Aspire Lite AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) AL15-41 Thin and Ligh...,"₹26,990",4 GB LPDDR4 RAM,4.1
105,HP AMD Athlon Dual Core 3050U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq1559AU Thin and Light Laptop,"₹26,490",Android Operating System,4
106,ASUS Vivobook S 15 OLED Intel EVO H-Series Intel Core i5 13th Gen 13500H - (16 GB/512 GB SSD/Windows 1...,"₹75,990",29.46 cm (11.6 Inch) Display,4.6
107,ASUS ROG Ally AMD Ryzen Z1 Octa Core Extreme - (16 GB/512 GB SSD/Windows 11 Home) RC71L-NH001W Handhel...,"₹39,990",1 Year Pick and Drop Warranty,4.4
108,Acer Aspire Lite AMD Ryzen 7 Octa Core 5700U - (16 GB/1 TB SSD/Windows 11 Home) AL15-41 Thin and Light...,"₹39,990",Intel Core i5 Processor (12th Gen),4.1
109,MSI Modern 15 Intel Core i3 12th Gen 1215U - (16 GB/512 GB SSD/Windows 11 Home) Modern 15 B12MO-612IN ...,"₹36,990",16 GB DDR4 RAM,4.3
